-0.024108887,-0.3319702,474.73334 381.0,474.75745 381.33197
-0.41333008,-0.770874,562.3939 376.0606,562.80725 376.83148
-0.5073242,-0.74557495,570.9048 446.09525,571.4121 446.84082
-0.6909485,-0.44021606,475.5 451.86667,476.19095 452.3069
-0.5787964,-0.8492737,469.5 475.0,470.0788 475.84927
-0.23400879,-0.31817627,472.0 495.0,472.234 495.31818
-0.37149048,-0.26846313,445.0 497.0,445.3715 497.26846
-0.72003174,-0.2695923,442.0 477.22223,442.72003 477.49182
-0.1897583,-0.27746582,610.0741 660.62964,610.26385 660.9071
-0.005554199,-0.48077393,592.0 625.0,592.00555 625.4808
-0.42016602,-0.32904053,626.0 603.0,626.42017 603.32904
-0.22125244,-0.6148071,645.7778 637.0,645.999 637.6148
-0.7038574,0.05734253,585.5 407.13333,586.20386 407.076
-0.46643066,-0.66674805,582.0 433.0,582.46643 433.66675
-0.10644531,-0.70651245,536.73334 432.0,536.8398 432.7065
-0.4586792,-0.88427734,540.9048 406.09525,541.36346 406.97952
-0.6798096,-0.06756592,649.0952 674.9048,649.775 674.97235
0.046691895,-0.22460938,629.0 680.5,628.9533 680.7246
-0.13500977,-0.33465576,624.0 654.2222,624.135 654.5569
-0.5678711,-0.023132324,644.0952 648.9048,644.6631 648.9279
-0.23608398,-0.27722168,618.0 416.0,618.2361 416.27722
-0.9715576,-0.7106018,616.9048 453.09525,617.87634 453.80585
0.2243042,-0.54330444,558.0 449.0,557.7757 449.5433
-0.26324463,-0.1574707,560.0 412.0,560.26324 412.15747
-0.5150299,-0.50323486,209.90475 762.0952,210.41978 762.59845
-0.38250732,-0.5177002,178.0 771.0,178.3825 771.5177
-0.41967773,-0.3428955,173.90475 733.0952,174.32443 733.4381
-0.7684326,0.13409424,205.09525 725.0952,205.86368 724.9611
-0.55133057,0.11593628,302.90475 468.90475,303.4561 468.78882
-0.5725708,-0.3166504,283.90475 463.09525,284.47733 463.4119
-0.47662354,-0.0065307617,288.0 439.0,288.47662 439.00653
-0.27774048,0.11480713,306.90475 444.90475,307.1825 444.78995
-0.20770264,0.009460449,469.0 605.73334,469.2077 605.7239
-0.73339844,-0.25280762,520.0 611.0,520.7334 611.2528
-0.61505127,-0.6010132,513.0 650.0,513.61505 650.601
-0.5222473,-0.16772461,461.09525 644.9048,461.6175 645.0725
-0.28045654,-0.3984375,573.0 512.0,573.28046 512.39844
0.14981079,-0.5162964,490.0 516.0,489.8502 516.5163
-1.0758972,-0.26782227,490.09525 472.90475,491.17114 473.17258
0.1204834,-0.03060913,569.9048 468.90475,569.7843 468.93536
-0.14593506,-0.42352295,597.9048 553.0952,598.0507 553.51874
-0.48394775,-0.26568604,611.62964 599.9259,612.1136 600.1916
-0.48809814,-0.4744873,573.0 623.0,573.4881 623.4745
0.12939453,-0.5088501,560.86664 576.13336,560.73724 576.6422
-0.3768921,-0.60510254,604.0 422.0,604.3769 422.6051
-0.43572998,-0.49423218,565.0 401.0,565.4357 401.49423
-0.5112915,-0.06478882,580.0952 349.90475,580.6065 349.96954
-0.47888184,-0.18222046,619.0 371.0,619.4789 371.18222
-0.20568848,-0.25979614,550.0 456.22223,550.2057 456.48203
-0.15222168,-0.23449707,588.0 454.0,588.1522 454.2345
-0.37408447,0.03152466,590.0 482.0,590.3741 481.96848
-0.07824707,-0.28305054,552.62964 483.92593,552.7079 484.20898
-0.2361145,-0.03414917,469.0 474.0,469.2361 474.03415
-0.17590332,-0.40066528,484.5 387.5,484.6759 387.90067
-0.31622314,-0.64730835,550.0 407.0,550.3162 407.6473
-0.30639648,-0.36761475,535.0 493.73334,535.3064 494.10095
-0.5881958,-0.040771484,492.13333 237.86667,492.72153 237.90744
-0.6972656,-0.5778198,473.09525 233.90475,473.7925 234.48257
-0.2791748,-0.5288696,475.90475 207.09525,476.18393 207.62411
-0.19876099,-0.20574951,495.0 211.0,495.19876 211.20575
-0.10662842,-0.6279907,564.0 473.0,564.1066 473.628
-0.8666382,-0.6777954,513.13336 474.33334,514.0 475.01114
0.095214844,-0.58483887,514.0952 445.09525,514.0 445.68008
-0.67559814,-0.2916565,563.0952 444.09525,563.7708 444.3869
-0.21606445,-0.21273804,542.9048 433.09525,543.12085 433.30798
-0.027526855,-0.34838867,559.0 417.0,559.0275 417.3484
0.0049438477,-0.15264893,583.0 427.0,582.99506 427.15265
-0.45178223,-0.6304321,566.9048 443.09525,567.35657 443.72568
-0.24084473,-0.55255127,599.9048 538.0952,600.1456 538.64777
-0.42315674,-0.25979614,609.0 511.0,609.42316 511.2598
-0.4491577,-0.37738037,654.0 520.0,654.44916 520.3774
-0.15264893,-0.15753174,646.0 548.0,646.15265 548.15753
-0.31240845,-0.21240234,458.90475 327.90475,459.21716 328.11716
-0.40499878,-0.60491943,378.62964 319.07407,379.03464 319.679
-0.35488892,-0.22238159,405.0 267.0,405.3549 267.22238
-0.14056396,-0.32803345,484.0 274.0,484.14056 274.32803
-0.5345459,-0.07879639,314.09525 556.0952,314.6298 556.174
-0.7192383,-0.1772461,359.0 565.0,359.71924 565.17725
-0.7765808,-0.41430664,349.26666 601.0,350.04324 601.4143
-0.3887329,-0.34033203,305.0 592.0,305.38873 592.34033
-0.32836914,-0.222229,513.0 725.7778,513.32837 726.0
-0.22940063,-0.3626709,509.07407 669.62964,509.30347 669.9923
-0.4088745,-0.15582275,552.9048 669.9048,553.31366 670.0606
-0.9673462,-1.0,558.0 725.0,558.96735 726.0
-0.39889526,-0.40997314,473.22223 601.0,473.62112 601.41
-0.58721924,-0.10723877,463.09525 573.9048,463.68246 574.012
0.058563232,0.19311523,486.0 563.7778,485.94144 563.58466
-0.30099487,-0.5107422,495.90475 590.0952,496.20575 590.60596
-0.5777588,-0.64782715,488.13333 313.86667,488.7111 314.5145
-0.2564392,-0.46990967,464.5 322.0,464.75644 322.4699
-0.54660034,-0.4328308,455.22223 303.0,455.76883 303.43283
-0.4673767,-0.060424805,478.66666 295.66666,479.13403 295.72708
-0.44622803,-0.3128662,470.66666 437.33334,471.11288 437.6462
-0.1859436,0.026184082,480.62964 416.92593,480.81558 416.89975
-0.02243042,-0.42764282,507.0 423.0,507.02243 423.42764
-0.67004395,-0.2695923,496.5 444.0,497.17004 444.2696
-0.58081055,-0.09121704,560.0 277.0,560.5808 277.09122
-0.42062378,-0.70285034,508.0 354.0,508.42062 354.70285
-0.4630127,-0.22329712,440.0 330.0,440.463 330.2233
-0.31985474,-0.43988037,492.0 258.0,492.31985 258.43988
-0.7397461,-0.19415283,588.0952 515.9048,588.83496 516.09894
-0.230896,-0.52615356,576.5 435.0,576.7309 435.52615
